"gvkey","company_name","final_commitment_year","commitment_date_source","match_method"
"203189","HUBER+SUHNER Group",2017,"historical_committed","ISIN"
"203836","TCC Group Holdings",2019,"inferred_from_targets_set","ISIN"
"203864","Takasago International Corporation",2019,"historical_committed","ISIN"
"203889","TATA CHEMICALS LIMITED",2019,"historical_committed","ISIN"
"204029","Dexus",2019,"inferred_from_targets_set","ISIN"
"204671","CEZ Group",2021,"historical_committed","ISIN"
"204867","Wipro",2015,"historical_committed","ISIN"
"205012","Marimekko Corporation",2022,"historical_committed","ISIN"
"205120","Atea",2017,"historical_committed","ISIN"
"205679","Lojas Renner S.A.",2020,"historical_committed","ISIN"
"205868","Nutreco",2020,"historical_committed","ISIN"
"205915","Benesse Corporation, Inc.",2018,"historical_committed","ISIN"
"205957","Fabege AB",2020,"historical_committed","ISIN"
"206197","NTT DATA Corporation",2019,"inferred_from_targets_set","ISIN"
"206296","Yuanta Financial Holding Co Ltd",2019,"historical_committed","ISIN"
"206319","Hindustan Zinc Limited",2017,"historical_committed","ISIN"
"206414","Abbott",2021,"inferred_from_targets_set","ISIN"
"206489","Clariant AG",2020,"historical_committed","ISIN"
"207168","RPS Group plc",2020,"historical_committed","ISIN"
"20779","Cisco Systems, Inc.",2016,"historical_committed","ISIN"
"208095","Singapore Telecommunications Limited (Singtel)",2017,"inferred_from_targets_set","ISIN"
"208799","Santen Pharmaceutical Co., Ltd",2020,"inferred_from_targets_set","ISIN"
"209048","TITAN Cement Group",2020,"inferred_from_targets_set","ISIN"
"209405","Vestel Elektronik Sanayi ve Ticaret A.S.",2021,"inferred_from_targets_set","ISIN"
"209418","CONCHA Y TORO",2018,"inferred_from_targets_set","ISIN"
"210201","Delta Electronics Inc.",2015,"historical_committed","ISIN"
"210216","Telstra Group Limited",2020,"historical_committed","ISIN"
"210418","ABB",2019,"historical_committed","ISIN"
"210479","GROUPE RENAULT",2019,"inferred_from_targets_set","ISIN"
"210614","Go-Ahead Holdings Limited",2020,"inferred_from_targets_set","ISIN"
"210823","Mayr-Melnhof Karton AG",2021,"historical_committed","ISIN"
"211009","Infosys Limited",2020,"historical_committed","ISIN"
"211167","Shree Cement Ltd.",2019,"inferred_from_targets_set","ISIN"
"211294","Dalmia Bharat Limited",2019,"historical_committed","ISIN"
"211415","Sopra Steria Group",2015,"historical_committed","ISIN"
"211447","Kuehne + Nagel International AG",2020,"historical_committed","ISIN"
"211452","Nokian Tyres plc",2019,"historical_committed","ISIN"
"211503","Teleperformance",2020,"inferred_from_targets_set","ISIN"
"211777","Cofinimmo",2019,"inferred_from_targets_set","ISIN"
"211819","National Grid (Group) PLC",2015,"historical_committed","ISIN"
"212167","SKYCITY Entertainment Group Limited",2019,"inferred_from_targets_set","ISIN"
"212437","Millennium & Copthorne Hotels plc.",2019,"inferred_from_targets_set","ISIN"
"212596","Ubisoft Entertainment",2021,"historical_committed","ISIN"
"212650","Transurban Group",2019,"inferred_from_targets_set","ISIN"
"212748","LITE-ON technology corp.",2018,"inferred_from_targets_set","ISIN"
"212773","Imperial Brands",2019,"inferred_from_targets_set","ISIN"
"212786","Melia Hotels International SA",2019,"inferred_from_targets_set","ISIN"
"212948","FAST RETAILING CO., LTD.",2019,"historical_committed","ISIN"
"213042","Konecranes Oyj",2021,"historical_committed","ISIN"
"213083","AVEVA Group",2021,"historical_committed","ISIN"
"213095","JD Sports Fashion PLC",2021,"historical_committed","ISIN"
"213223","Charles Taylor",2022,"historical_committed","exact_name"
"213290","Aguas Andinas S.A.",2019,"historical_committed","ISIN"
"2136","Verizon",2019,"historical_committed","ISIN"
"2137","BCE Inc.",2021,"historical_committed","ISIN"
"21408","Groupe Bruxelles Lambert",2021,"historical_committed","ISIN"
"214526","Magyar Telekom Plc.",2019,"inferred_from_targets_set","ISIN"
"214527","Taishin Financial Holdings",2021,"inferred_from_targets_set","ISIN"
"215422","Mowi ASA",2019,"historical_committed","ISIN"
"216603","dormakaba",2019,"historical_committed","ISIN"
"216667","ERG spa",2019,"historical_committed","ISIN"
"216861","Indra",2020,"historical_committed","ISIN"
"218399","Alstom",2020,"historical_committed","ISIN"
"2184","Best Buy Co., Inc.",2019,"inferred_from_targets_set","ISIN"
"21864","CGI Inc",2020,"historical_committed","ISIN"
"220301","Merck KGaA",2021,"historical_committed","ISIN"
"220303","Aurubis AG",2020,"historical_committed","ISIN"
"220579","Telia Company",2019,"historical_committed","ISIN"
"220601","Informa plc",2019,"inferred_from_targets_set","ISIN"
"220920","EDF Group",2019,"inferred_from_targets_set","ISIN"
"220940","Orange",2019,"historical_committed","ISIN"
"220942","ENGIE",2019,"inferred_from_targets_set","ISIN"
"220986","Manitou Group",2021,"historical_committed","ISIN"
"221244","Adidas AG",2020,"historical_committed","ISIN"
"221261","Coca-Cola HBC (Hellenic Bottling Company) AG",2016,"inferred_from_targets_set","ISIN"
"221499","Rockwool Group",2019,"inferred_from_targets_set","ISIN"
"221612","Telenor Group",2020,"historical_committed","ISIN"
"221616","Deutsche Telekom AG",2019,"inferred_from_targets_set","ISIN"
"221858","Reckitt Benckiser Group plc",2019,"historical_committed","ISIN"
"221884","Gecina",2017,"historical_committed","ISIN"
"222281","Morgan Sindall Group plc",2015,"historical_committed","ISIN"
"222284","Covivio",2019,"inferred_from_targets_set","ISIN"
"222286","Tele2 AB",2020,"historical_committed","ISIN"
"222302","Intermediate Capital Group",2020,"inferred_from_targets_set","ISIN"
"222340","Dürr Aktiengesellschaft",2021,"historical_committed","ISIN"
"222379","Kering",2015,"historical_committed","ISIN"
"222398","Aeon Co., Ltd.",2018,"historical_committed","ISIN"
"222601","A2A S.p.A.",2019,"historical_committed","ISIN"
"223098","Dr. Reddy’s Laboratories Ltd.",2020,"inferred_from_targets_set","ISIN"
"223150","SoftBank Corp.",2020,"inferred_from_targets_set","ISIN"
"223520","ERAMET",2020,"inferred_from_targets_set","ISIN"
"223528","Japan Tobacco Inc.",2019,"inferred_from_targets_set","ISIN"
"223911","NTT Docomo Inc.",2017,"historical_committed","ISIN"
"224159","Barry Callebaut",2019,"historical_committed","ISIN"
"225016","Bonduelle Group",2021,"inferred_from_targets_set","exact_name"
"225094","Vestas Wind Systems",2019,"historical_committed","ISIN"
"227218","BEFIMMO SA",2021,"inferred_from_targets_set","ISIN"
"227916","Contact Energy",2019,"inferred_from_targets_set","ISIN"
"22815","Trimble Inc",2021,"inferred_from_targets_set","exact_name"
"228796","BRISA BRIDGESTONE SABANCI TYRE MANUFACTURING AND TRADING INC.",2017,"historical_committed","ISIN"
"231809","Unite Students",2016,"historical_committed","ISIN"
"232106","Lundbeck A/S",2015,"inferred_from_targets_set","ISIN"
"23238","Etsy, Inc.",2020,"inferred_from_targets_set","ISIN"
"232630","NOS, SPGS, S.A.",2020,"historical_committed","ISIN"
"232646","Ørsted",2017,"inferred_from_targets_set","ISIN"
"233458","Soitec",2020,"inferred_from_targets_set","ISIN"
"2337","Resolute Forest Products",2021,"historical_committed","ISIN"
"233721","KOSÉ Corporation",2020,"historical_committed","ISIN"
